文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
[席地而坐] sit-1.21.11-29.jar,席地而坐 (Sit),29,2025/12/12 6:02:07,sit,VKXzIykF,63972,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[席地而坐] sit-1.21.11-29.jar
[玉 🔍] Jade-1.21.11-Fabric-21.1.1.jar,玉 🔍 (Jade 🔍),21.1.1+fabric,2026/1/7 5:18:50,jade,nvQzSEkH,944560,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[玉 🔍] Jade-1.21.11-Fabric-21.1.1.jar
[预生成区块] Chunky-Fabric-1.4.55.jar,预生成区块 (Chunky),1.4.55,2025/12/22 18:43:31,chunky,fALzjamp,355288,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[预生成区块] Chunky-Fabric-1.4.55.jar
[自定义游戏加载界面] drippyloadingscreen_fabric_3.1.1_MC_1.21.11.jar,自定义游戏加载界面 (Drippy Loading Screen),3.1.1,2025/12/24 17:20:39,drippyloadingscreen,v3CYg2V9,281928,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[自定义游戏加载界面] drippyloadingscreen_fabric_3.1.1_MC_1.21.11.jar
[自然音效] AmbientSounds_FABRIC_v6.3.4_mc1.21.11.jar,自然音效 (AmbientSounds),6.3.4,2026/1/30 19:45:44,ambientsounds,fM515JnW,84821548,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[自然音效] AmbientSounds_FABRIC_v6.3.4_mc1.21.11.jar
[C^2M 引擎] c2me-fabric-mc1.21.11-0.3.7+alpha.0.7.jar,C^2M 引擎 (C^2M-Engine/Concurrent Chunk Management Engine),0.3.7+alpha.0.7+1.21.11,2026/1/24 20:38:38,c2me,VSNURh3q,4688603,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[C^2M 引擎] c2me-fabric-mc1.21.11-0.3.7+alpha.0.7.jar
[Lambd的动态光源] lambdynamiclights-4.9.1+1.21.11.jar,Lambd的动态光源 (LambDynamicLights),4.9.1+1.21.11,2025/12/12 4:12:59,lambdynlights,yBW8D80W,2144865,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[Lambd的动态光源] lambdynamiclights-4.9.1+1.21.11.jar
[Reese的钠视频界面] reeses-sodium-options-fabric-2.0.3+mc1.21.11.jar,Reese的钠视频界面 (Reese's Sodium Options),2.0.3+mc1.21.11,2026/1/26 9:30:59,reeses-sodium-options,Bh37bMuy,104577,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[Reese的钠视频界面] reeses-sodium-options-fabric-2.0.3+mc1.21.11.jar
[WI变焦] WI-Zoom-1.7-MC1.21.11.jar,WI变焦 (WI Zoom),1.7-MC1.21.11,2025/12/10 0:17:07,wi_zoom,o7DitHWP,151047,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[WI变焦] WI-Zoom-1.7-MC1.21.11.jar
Almanac-1.21.11-x-fabric-1.6.2.jar,Almanac,1.6.2,2026/1/20 22:15:39,almanac,Gi02250Z,1038333,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\Almanac-1.21.11-x-fabric-1.6.2.jar
anvianslib-fabric-1.21.10-1.4.jar,Anvian's Lib,1.4,2025/10/18 21:19:57,anvianslib,PuTjrq4T,30441,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\anvianslib-fabric-1.21.10-1.4.jar
architectury-19.0.1-fabric.jar,Architectury API,19.0.1,2025/12/16 12:24:40,architectury,lhGA9TYQ,568474,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\architectury-19.0.1-fabric.jar
Axiom-5.2.1-for-MC1.21.11.jar,Axiom,5.2.1,2025/12/14 21:45:45,axiom,N6n5dqoA,44226590,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\Axiom-5.2.1-for-MC1.21.11.jar
BadOptimizations-2.4.1-1.21.11.jar,BadOptimizations,2.4.1,2025/12/16 8:48:30,badoptimizations,g96Z4WVZ,269545,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\BadOptimizations-2.4.1-1.21.11.jar
